Coleta de dados ;;;;;;;
ID da amostra;Diametro (mm);Altura (mm);Massa (g);Resistencia (kgf);Densidade;Área (mm^2)
312;14.98;21.24;4.26;1060;0.001137;176.243662
309;14.53;20.69;4.06;1003;0.001183;165.8139671
330;16.52;23.16;5.5;1204;0.001107;214.3433269
313;14.88;25.84;5.2;1004;0.001157;173.8984631
328;15.69;26.92;5.9;1059;0.001080;193.3462568
305;14.01;27.64;5.13;895;0.001203;154.1580301
334;17.18;29.22;7.33;1227;0.001082;231.8121529
321;15.71;22.15;4.8;1106;0.001117;193.8394869
408;12.4;19.21;2.9;1021;0.001250;120.7628216
409;12.46;21.97;3.33;924;0.001243;121.9343215
410;12.43;23.33;3.5;918;0.001236;121.3478647
411;12.42;24.62;3.73;848;0.001271;121.1526933
